date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday
07/2011,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08/2011,0,0,0,0,1,0,1,0,0,0,0,2,0,1,3,0,0,1,4,0,3,0,2,0,0,1,1,0,1,1,1,2,2,1,0,2
09/2011,1,0,1,0,0,0,0,0,1,1,2,2,0,3,0,1,0,0,4,1,1,3,6,0,0,0,0,0,0,0,2,1,1,0,0,1
10/2011,1,0,0,0,0,0,0,1,1,3,1,0,0,1,2,1,0,1,5,0,0,11,0,0,0,1,1,0,0,0,1,1,1,1,0,0
11/2011,2,0,0,0,0,1,2,0,2,0,2,3,0,0,2,0,0,1,5,1,2,0,4,0,1,0,1,0,0,1,2,5,4,1,0,5
12/2011,2,3,2,3,0,0,1,2,1,0,1,3,0,1,2,0,2,2,7,1,2,8,0,0,4,2,3,2,1,3,2,0,0,3,0,2
01/2012,3,2,2,3,4,6,1,1,1,4,3,0,0,4,2,5,1,1,6,1,4,0,0,0,2,1,2,1,1,2,2,3,1,1,0,1
02/2012,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
03/2012,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,4,1,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
04/2012,0,1,1,3,3,0,1,2,2,1,2,0,0,0,3,1,4,1,7,0,2,10,0,0,3,1,1,4,1,3,0,3,1,3,0,0
05/2012,1,1,0,0,3,2,4,3,1,1,3,1,0,2,2,0,3,1,6,1,0,3,0,0,3,1,3,4,2,1,2,1,2,1,0,0
06/2012,0,2,0,0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,7,0,3,0,0,0,2,1,1,0,0,1,1,0,0,2,0,1
07/2012,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08/2012,0,0,0,0,1,0,1,0,0,0,0,4,0,1,3,0,0,1,4,0,3,0,4,0,0,1,1,0,1,1,4,3,4,1,0,3
09/2012,1,0,1,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,5,1,1,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0
10/2012,1,0,0,0,0,0,0,1,1,3,1,3,0,2,3,1,0,1,4,0,1,8,6,0,0,1,1,0,0,0,1,5,4,1,0,4
11/2012,3,0,0,0,0,1,2,0,2,0,2,3,0,0,2,0,0,1,5,1,3,0,0,0,1,0,1,0,0,1,2,1,0,1,0,1
12/2012,1,2,1,2,1,0,1,2,1,0,2,1,0,1,1,0,2,3,9,2,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,2
01/2013,2,1,1,3,2,8,1,1,1,1,2,1,0,1,3,1,1,1,5,1,5,0,0,0,2,1,2,1,1,2,1,4,1,1,0,2
02/2013,1,0,0,0,0,1,0,0,0,3,1,1,0,3,0,5,0,0,4,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
03/2013,0,1,1,1,1,1,0,1,1,0,1,1,0,1,4,0,2,1,6,1,5,7,0,0,2,2,0,3,1,1,0,0,0,2,0,0
04/2013,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,1,2,0,5,0,3,4,0,0,1,1,1,1,0,2,0,1,1,1,0,0
05/2013,1,2,0,0,7,2,4,3,1,1,4,1,0,2,2,0,3,1,6,1,1,2,0,0,3,1,4,5,2,1,2,3,2,1,0,0
06/2013,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,8,0,4,0,0,0,2,1,0,0,0,1,1,0,0,1,0,1
07/2013,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08/2013,0,0,0,0,2,0,1,0,0,0,0,4,0,1,3,0,0,1,4,0,2,0,6,0,0,1,1,0,1,1,3,3,4,1,0,3
09/2013,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,5,1,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10/2013,1,0,0,0,0,0,0,1,1,3,1,3,0,2,3,1,0,1,4,0,2,0,4,0,0,1,1,0,0,0,1,5,5,0,0,4
11/2013,2,0,0,0,0,1,2,0,2,0,3,3,0,0,2,0,0,1,5,1,2,3,0,0,1,0,1,0,0,1,2,1,0,0,0,1
12/2013,1,2,1,2,0,0,1,2,1,0,1,1,0,1,1,0,2,2,9,1,2,5,0,0,4,2,3,2,1,3,1,0,0,2,0,2
01/2014,2,1,1,3,5,8,1,1,1,2,2,1,0,3,3,3,1,2,6,1,3,0,0,0,2,1,2,1,1,2,2,4,1,1,0,2
02/2014,1,0,0,0,0,1,0,0,0,2,1,1,0,1,0,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/2014,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,5,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
04/2014,0,1,1,3,2,0,1,2,2,1,1,0,0,0,3,2,4,1,6,0,3,8,0,0,3,1,1,4,1,3,0,3,1,3,0,0
05/2014,1,2,0,0,3,2,3,2,1,1,4,1,0,2,1,0,1,1,6,1,2,3,0,0,2,1,2,3,1,1,2,1,2,1,0,1
06/2014,0,0,0,0,4,1,1,1,0,1,0,0,0,1,1,1,2,0,8,0,3,2,0,0,3,1,2,2,1,1,1,1,0,1,0,0
07/2014,1,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,2,4,3,0,0,3
08/2014,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,1,5,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
09/2014,1,0,1,0,0,0,0,0,1,1,2,0,0,4,0,1,0,0,4,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0
10/2014,1,0,0,0,0,0,0,1,1,3,1,3,0,2,4,1,0,0,4,0,2,11,6,0,0,1,1,0,0,0,4,5,5,0,0,5
11/2014,2,0,0,0,0,1,2,0,2,0,3,3,0,0,1,0,0,1,6,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
12/2014,1,2,1,2,0,0,1,2,1,0,1,1,0,1,1,0,2,3,8,1,4,8,0,0,4,2,3,2,1,3,1,0,0,2,0,2
01/2015,2,1,1,2,5,8,1,1,1,1,2,1,0,1,3,1,1,2,6,1,1,0,0,0,2,1,2,1,1,2,1,4,1,1,0,2
02/2015,1,0,0,0,0,1,0,0,0,3,1,1,0,3,0,7,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2015,0,0,0,0,2,1,0,0,0,0,1,1,0,1,2,0,0,0,5,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
04/2015,0,1,1,3,2,0,1,2,2,1,1,0,0,0,2,4,4,1,6,0,2,10,0,0,3,1,1,4,1,3,0,3,1,3,0,0
05/2015,1,2,0,0,6,2,4,3,1,1,4,1,0,2,2,0,4,1,7,1,2,3,0,0,3,1,3,5,2,1,3,1,2,1,0,1
06/2015,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,2,0,0,7,0,3,0,0,0,2,1,1,0,0,1,1,1,0,1,0,0
07/2015,2,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,2,4,3,0,0,3
08/2015,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,5,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
09/2015,1,0,1,0,0,0,0,0,1,1,3,3,0,4,2,2,0,0,4,1,1,9,5,0,0,0,0,0,0,0,2,4,4,0,0,4
10/2015,1,0,0,0,1,0,0,1,1,3,1,2,0,2,2,2,0,1,5,0,3,5,0,0,1,1,1,0,0,0,1,2,1,0,0,1
11/2015,2,0,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
12/2015,1,3,1,3,0,0,1,2,1,0,1,1,0,1,2,0,2,2,8,1,5,8,0,0,4,3,3,2,1,3,2,1,0,2,0,3
01/2016,2,1,1,2,3,8,1,1,1,1,2,0,0,1,2,1,1,2,7,1,0,0,0,0,2,1,2,1,1,2,0,3,1,1,0,1
02/2016,1,0,0,0,0,1,0,0,0,3,1,1,0,4,0,7,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2016,0,1,1,2,2,1,1,2,1,0,2,1,0,1,4,0,3,1,6,1,7,3,0,0,3,2,1,4,1,2,0,0,0,2,0,0
04/2016,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,4,0,2,8,0,0,0,0,0,0,0,1,0,1,1,1,0,0
05/2016,1,2,0,0,4,2,4,3,1,1,3,1,0,2,2,0,3,0,6,1,2,3,0,0,3,1,4,5,2,1,3,2,2,2,0,1
06/2016,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,7,0,3,2,0,0,2,1,0,0,0,1,1,1,0,1,0,0
07/2016,1,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,2,4,3,0,0,3
08/2016,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
09/2016,1,0,1,0,0,0,0,0,1,1,2,3,0,3,2,1,0,0,4,1,2,0,7,0,0,0,0,0,0,0,2,4,4,0,0,4
10/2016,1,0,0,0,1,0,0,1,1,3,1,2,0,2,3,1,0,1,5,0,2,14,0,0,0,1,1,0,0,0,2,2,1,1,0,1
11/2016,2,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,1,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
12/2016,2,3,2,3,0,0,1,2,1,0,1,2,0,1,2,0,2,2,7,1,2,7,0,0,4,2,3,2,1,3,3,1,0,3,0,3
01/2017,3,2,2,3,4,8,1,1,1,4,3,0,0,5,2,7,1,1,6,1,0,1,0,0,2,1,2,1,1,2,3,3,1,1,0,1
02/2017,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/2017,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,4,1,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
04/2017,0,1,1,3,2,0,1,2,2,1,1,0,0,0,3,1,4,1,7,0,4,8,0,0,3,1,1,4,1,3,0,3,1,3,0,1
05/2017,1,2,0,0,4,2,3,2,1,2,3,1,0,3,1,1,1,1,6,1,1,5,0,0,2,1,2,3,1,1,2,1,2,1,0,0
06/2017,0,0,0,0,3,1,1,1,0,0,0,3,0,1,3,0,2,0,7,0,5,0,4,0,3,1,2,2,1,1,4,4,3,2,0,3
07/2017,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
08/2017,0,0,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,1,4,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1
09/2017,1,0,1,0,0,0,0,0,1,0,2,5,0,0,3,0,0,0,4,1,4,5,7,0,0,0,0,0,0,0,3,4,4,0,0,4
10/2017,1,0,0,0,2,0,0,2,1,4,1,0,0,5,2,2,0,1,5,0,0,9,0,0,0,1,1,0,0,0,1,1,1,1,0,0
11/2017,3,0,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,1,4,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
12/2017,1,2,1,2,1,0,1,2,1,0,1,2,0,1,1,0,2,3,7,1,1,8,0,0,4,2,3,2,1,3,2,0,0,3,0,2
01/2018,2,1,1,2,3,8,1,1,1,1,2,0,0,1,2,1,1,2,6,1,0,0,0,0,2,1,2,1,1,2,0,3,1,1,0,1
02/2018,1,0,0,0,0,1,0,0,0,3,2,1,0,3,0,7,0,0,4,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2018,0,1,1,1,2,1,0,1,1,0,1,1,0,1,3,0,1,1,5,1,6,4,0,0,1,2,0,2,0,0,0,0,0,1,0,0
04/2018,0,0,0,2,3,0,1,1,1,1,2,0,0,0,1,2,3,0,6,0,3,8,0,0,2,1,1,2,1,3,0,3,1,2,0,1
05/2018,1,2,0,0,4,2,4,3,1,1,3,1,0,3,2,0,3,1,6,1,1,3,0,0,3,1,4,5,2,1,3,1,2,2,0,0
06/2018,0,0,0,0,2,1,0,0,0,1,0,3,0,2,2,1,0,0,7,0,4,0,6,0,2,1,0,0,0,1,2,4,3,1,0,3
07/2018,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
08/2018,0,0,0,0,1,0,1,0,0,0,1,4,0,1,3,0,0,1,4,0,2,0,4,0,0,1,1,0,1,1,2,4,5,1,0,4
09/2018,1,0,1,0,0,0,0,0,1,1,3,2,0,4,1,1,0,0,5,1,2,13,1,0,0,0,0,0,0,0,5,1,0,0,0,1
10/2018,1,0,0,0,2,0,0,1,1,3,1,0,0,2,1,1,0,1,4,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
11/2018,3,0,0,0,0,1,2,0,2,0,2,1,0,0,2,0,0,1,5,1,4,0,0,0,1,0,1,0,0,1,2,1,0,1,0,2
12/2018,1,2,1,2,3,0,1,2,1,0,2,1,0,1,1,0,2,3,9,2,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,2
01/2019,2,1,1,3,2,8,1,1,1,1,2,0,0,1,2,1,1,1,5,1,0,0,0,0,2,1,2,1,1,2,0,3,1,1,0,1
02/2019,1,0,0,0,0,1,0,0,0,3,1,1,0,3,0,5,0,0,4,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2019,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,5,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
04/2019,0,1,1,3,3,0,1,2,2,1,2,0,0,0,3,2,4,1,6,0,4,8,0,0,3,1,1,4,1,3,0,3,1,3,0,0
05/2019,1,2,0,0,2,2,3,2,1,1,6,1,0,3,1,0,1,1,6,1,1,3,0,0,2,1,2,3,1,1,3,1,2,1,0,0
06/2019,0,0,0,0,3,1,1,1,0,1,0,3,0,1,3,1,2,0,8,0,3,2,5,0,3,1,2,2,1,1,3,4,3,2,0,3
07/2019,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
08/2019,0,0,0,0,2,0,1,0,0,0,2,3,0,1,3,0,0,1,4,0,2,0,5,0,0,1,1,0,1,1,3,5,5,1,0,5
09/2019,1,0,1,0,0,0,0,0,1,1,2,2,0,3,1,1,0,0,5,1,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
10/2019,1,0,0,0,1,0,0,1,1,3,2,0,0,2,2,1,0,1,4,0,3,12,0,0,0,1,1,0,0,0,2,1,1,1,0,0
11/2019,2,0,0,0,0,1,2,0,2,0,3,1,0,0,1,0,0,1,5,1,2,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
12/2019,1,2,1,2,3,0,1,2,1,0,0,1,0,1,1,0,2,2,9,1,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,3
01/2020,2,1,1,3,3,8,1,1,1,4,2,0,0,5,2,7,1,2,6,1,1,0,0,0,2,1,2,1,1,2,3,3,1,1,0,1
02/2020,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/2020,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,5,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
04/2020,0,1,1,3,2,0,1,2,2,1,1,0,0,2,3,3,4,1,6,0,2,10,0,0,3,1,1,4,1,3,0,3,1,3,0,0
05/2020,1,2,0,0,3,2,3,2,1,1,4,4,0,1,4,0,3,1,7,1,3,3,4,0,3,1,2,4,2,1,5,4,5,1,0,3
06/2020,0,0,0,0,4,1,1,1,0,1,0,0,0,1,0,1,1,0,7,0,3,0,0,0,2,1,2,1,0,1,1,1,0,2,0,0
07/2020,2,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,1,3,2,0,0,2
08/2020,0,0,0,0,1,0,1,0,0,0,1,5,0,2,3,0,0,1,5,0,3,0,4,0,0,1,1,0,1,1,2,3,4,1,0,3
09/2020,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10/2020,1,0,0,0,1,0,0,1,1,3,0,1,0,4,2,3,0,1,5,0,4,9,0,0,1,1,1,0,0,0,1,2,1,1,0,0
11/2020,2,0,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,0,5,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
12/2020,1,3,1,3,1,0,1,2,1,0,0,1,0,1,1,0,2,2,8,1,0,8,0,0,4,3,3,2,1,3,1,0,0,3,0,3
01/2021,2,1,1,2,3,8,1,1,1,1,2,0,0,1,2,1,1,2,7,1,1,0,0,0,2,1,2,1,1,2,0,3,1,1,0,1
02/2021,1,0,0,0,0,1,0,0,0,3,2,1,0,3,0,7,0,0,4,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2021,0,0,0,0,1,1,0,0,0,0,1,1,0,1,2,1,0,0,4,1,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
04/2021,0,1,1,3,0,0,1,2,2,1,1,0,0,0,2,3,4,1,6,0,2,6,0,0,3,1,1,4,1,3,0,1,1,3,0,0
05/2021,1,2,0,0,6,2,4,3,1,1,3,4,0,2,4,0,3,1,7,1,3,2,6,0,3,1,3,5,2,1,4,6,5,1,0,3
06/2021,2,0,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,6,0,3,0,0,0,2,1,1,0,0,1,1,1,0,2,0,0
07/2021,2,0,1,0,0,0,1,0,0,0,2,3,0,0,2,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,1,5,5,0,0,4
08/2021,0,0,0,0,2,0,1,0,0,0,2,3,0,2,2,0,0,0,5,0,2,0,0,0,0,1,1,0,1,1,2,1,1,1,0,1
09/2021,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,4,1,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10/2021,1,0,0,0,2,0,0,1,1,3,0,1,0,4,2,2,0,1,5,0,4,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0
11/2021,2,0,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,1,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0
12/2021,3,4,2,4,2,0,1,2,1,0,0,1,0,1,1,1,2,3,7,1,0,6,0,0,4,4,3,2,1,3,1,0,0,3,0,3
01/2022,2,2,2,3,3,8,1,1,1,1,2,0,0,2,2,2,1,2,7,1,1,0,0,0,2,1,2,1,1,2,0,3,1,1,0,1
02/2022,1,0,0,0,0,1,0,0,0,3,2,1,0,2,0,4,0,0,4,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
03/2022,0,0,0,0,2,1,0,0,0,0,1,1,0,2,1,0,0,0,4,1,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
04/2022,0,1,1,3,0,0,1,2,2,1,1,0,0,0,3,2,4,1,6,0,3,8,0,0,3,1,1,4,1,3,0,2,1,3,0,0
05/2022,1,1,0,0,0,2,3,2,1,1,3,4,0,2,3,0,1,0,6,1,3,3,4,0,2,1,2,3,1,1,6,4,5,1,0,3
06/2022,2,2,0,0,0,1,1,1,0,1,0,0,0,2,1,1,2,0,7,0,2,2,0,0,3,1,2,2,1,1,1,1,0,2,0,0
07/2022,1,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,5,0,2,0,6,0,0,0,0,0,0,0,3,6,5,0,0,5
08/2022,0,0,0,0,0,0,1,0,0,0,1,3,0,1,2,0,0,1,4,0,2,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
09/2022,1,1,1,1,0,0,0,0,1,1,2,0,0,4,0,2,0,0,4,1,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
10/2022,1,0,0,0,0,0,0,1,1,3,1,1,0,3,3,1,0,1,5,0,2,11,0,0,0,1,1,0,0,0,2,2,1,1,0,0
11/2022,2,0,0,0,0,1,2,0,2,0,2,1,0,0,0,0,0,1,5,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
12/2022,2,3,2,3,0,0,1,2,1,0,0,1,0,1,1,0,2,2,7,1,1,8,0,0,4,2,3,2,1,3,2,0,0,3,0,3
